,f1,cv
D-KNN,0.375,0.287
D-tKNN,0.338,0.337
NSC,0.308,0.28
tNSC,0.298,0.28
MNB,0.075,0.09
tMNB,0.423,0.429
LSVM,0.475,0.431
tLSVM,0.565,0.502
LR,0.153,0.105
tLR,0.518,0.387
