,f1,cv
D-KNN,0.818,0.714
D-tKNN,0.925,0.912
D-NSC,0.893,0.804
D-tNSC,0.89,0.804
LSVM,1.0,0.979
tLSVM,0.992,0.979
LR,1.0,0.979
tLR,0.793,0.678
