,f1,cv
D-KNN,0.807,0.744
D-tKNN,0.852,0.836
D-NSC,0.878,0.861
D-tNSC,0.87,0.863
LSVM,0.915,0.906
tLSVM,0.935,0.924
LR,0.94,0.924
tLR,0.92,0.835
