,f1,cv
KNN,0.62,0.554
tKNN,0.845,0.844
NSC,0.67,0.649
tNSC,0.842,0.836
MNB,0.88,0.852
tMNB,0.882,0.856
LSVM,0.905,0.866
tLSVM,0.903,0.869
LR,0.902,0.847
tLR,0.905,0.871
