,f1,cv
D-KNN,0.265,0.238
D-tKNN,0.34,0.326
NSC,0.215,0.208
tNSC,0.212,0.209
MNB,0.075,0.09
tMNB,0.515,0.472
LSVM,0.562,0.547
tLSVM,0.752,0.654
LR,0.132,0.112
tLR,0.592,0.5
