,f1,cv
D-KNN,0.31,0.28
D-tKNN,0.348,0.34
NSC,0.295,0.286
tNSC,0.292,0.287
MNB,0.075,0.09
tMNB,0.373,0.399
LSVM,0.425,0.387
tLSVM,0.495,0.459
LR,0.13,0.105
tLR,0.472,0.343
