,f1,cv
KNN,0.265,0.261
tKNN,0.388,0.44
NSC,0.238,0.268
tNSC,0.285,0.303
MNB,0.754,0.625
tMNB,0.731,0.685
LSVM,0.581,0.555
tLSVM,0.612,0.575
LR,0.592,0.564
tLR,0.535,0.538
