,f1,cv
KNN,0.648,0.546
tKNN,0.867,0.849
NSC,0.705,0.692
tNSC,0.88,0.866
MNB,0.075,0.09
tMNB,0.908,0.875
LSVM,0.755,0.653
tLSVM,0.888,0.841
LR,0.085,0.096
tLR,0.56,0.431
