,f1,cv
KNN,0.587,0.469
tKNN,0.88,0.871
NSC,0.718,0.664
tNSC,0.858,0.817
MNB,0.075,0.09
tMNB,0.89,0.865
LSVM,0.782,0.668
tLSVM,0.87,0.834
LR,0.098,0.099
tLR,0.48,0.41
