,f1,cv
KNN,0.648,0.542
tKNN,0.85,0.807
NSC,0.708,0.638
tNSC,0.835,0.81
MNB,0.075,0.09
tMNB,0.855,0.824
LSVM,0.67,0.588
tLSVM,0.872,0.809
LR,0.085,0.09
tLR,0.6,0.459
