,f1,cv
KNN,0.605,0.551
tKNN,0.87,0.828
NSC,0.695,0.66
tNSC,0.878,0.857
MNB,0.075,0.09
tMNB,0.885,0.85
LSVM,0.69,0.623
tLSVM,0.898,0.827
LR,0.092,0.093
tLR,0.57,0.463
