,f1,cv
KNN,0.588,0.525
tKNN,0.83,0.774
NSC,0.673,0.637
tNSC,0.815,0.779
MNB,0.833,0.776
tMNB,0.84,0.781
LSVM,0.89,0.826
tLSVM,0.892,0.836
LR,0.905,0.826
tLR,0.903,0.84
