,f1,cv
KNN,0.627,0.565
tKNN,0.89,0.881
NSC,0.725,0.668
tNSC,0.87,0.826
MNB,0.948,0.88
tMNB,0.955,0.905
LSVM,0.925,0.878
tLSVM,0.922,0.879
LR,0.912,0.861
tLR,0.87,0.759
