,f1,cv
D-KNN,0.768,0.64
D-tKNN,0.912,0.899
D-NSC,0.867,0.753
D-tNSC,0.867,0.753
LSVM,1.0,0.987
tLSVM,0.995,0.988
LR,0.997,0.987
tLR,0.755,0.616
