,f1,cv
D-KNN,0.78,0.641
D-tKNN,0.925,0.893
D-NSC,0.86,0.739
D-tNSC,0.86,0.739
LSVM,0.997,0.983
tLSVM,0.995,0.983
LR,0.997,0.981
tLR,0.718,0.638
