,f1,cv
D-KNN,0.868,0.795
D-tKNN,0.905,0.901
D-NSC,0.922,0.899
D-tNSC,0.918,0.907
LSVM,0.96,0.951
tLSVM,0.972,0.962
LR,0.972,0.957
tLR,0.878,0.797
