,f1,cv
D-KNN,0.807,0.757
D-tKNN,0.852,0.836
D-NSC,0.893,0.863
D-tNSC,0.888,0.865
LSVM,0.91,0.914
tLSVM,0.935,0.931
LR,0.938,0.931
tLR,0.908,0.85
