,f1,cv
D-KNN,0.815,0.718
D-tKNN,0.918,0.918
D-NSC,0.918,0.808
D-tNSC,0.912,0.811
LSVM,0.995,0.979
tLSVM,0.99,0.979
LR,0.995,0.979
tLR,0.802,0.679
