,f1,cv
D-KNN,0.275,0.238
D-tKNN,0.338,0.336
NSC,0.218,0.201
tNSC,0.198,0.203
MNB,0.075,0.09
tMNB,0.495,0.456
LSVM,0.615,0.533
tLSVM,0.742,0.637
LR,0.132,0.118
tLR,0.628,0.492
