,f1,cv
D-KNN,0.27,0.259
D-tKNN,0.348,0.351
NSC,0.205,0.242
tNSC,0.205,0.242
MNB,0.075,0.09
tMNB,0.42,0.46
LSVM,0.51,0.506
tLSVM,0.592,0.6
LR,0.15,0.111
tLR,0.473,0.463
