,f1,cv
D-KNN,0.338,0.285
D-tKNN,0.35,0.326
NSC,0.333,0.271
tNSC,0.322,0.271
MNB,0.075,0.09
tMNB,0.418,0.366
LSVM,0.428,0.359
tLSVM,0.48,0.415
LR,0.128,0.104
tLR,0.458,0.323
