,f1,cv
D-KNN,0.28,0.303
D-tKNN,0.318,0.345
NSC,0.27,0.299
tNSC,0.275,0.302
MNB,0.075,0.09
tMNB,0.345,0.393
LSVM,0.388,0.361
tLSVM,0.49,0.417
LR,0.128,0.105
tLR,0.412,0.304
