,f1,cv
D-KNN,0.3,0.375
D-tKNN,0.312,0.425
NSC,0.338,0.332
tNSC,0.327,0.334
MNB,0.412,0.442
tMNB,0.412,0.46
LSVM,0.488,0.502
tLSVM,0.538,0.539
LR,0.412,0.435
tLR,0.477,0.503
