,f1,cv
D-KNN,0.408,0.4
D-tKNN,0.396,0.443
NSC,0.338,0.313
tNSC,0.292,0.319
MNB,0.569,0.514
tMNB,0.569,0.527
LSVM,0.619,0.588
tLSVM,0.631,0.616
LR,0.565,0.516
tLR,0.581,0.584
