,f1,cv
KNN,0.358,0.396
tKNN,0.531,0.56
NSC,0.519,0.525
tNSC,0.577,0.556
MNB,0.527,0.525
tMNB,0.612,0.591
LSVM,0.573,0.553
tLSVM,0.631,0.597
LR,0.546,0.509
tLR,0.512,0.472
