,f1,cv
KNN,0.296,0.27
tKNN,0.627,0.58
NSC,0.592,0.561
tNSC,0.596,0.575
MNB,0.408,0.359
tMNB,0.669,0.641
LSVM,0.635,0.613
tLSVM,0.662,0.643
LR,0.581,0.572
tLR,0.462,0.429
