,f1,cv
D-KNN,0.245,0.238
D-tKNN,0.338,0.337
NSC,0.212,0.208
D-tNSC,0.215,0.208
MNB,0.075,0.09
tMNB,0.505,0.472
LSVM,0.605,0.53
tLSVM,0.753,0.625
LR,0.135,0.114
tLR,0.612,0.488
