,f1,cv
D-KNN,0.35,0.376
D-tKNN,0.362,0.437
NSC,0.335,0.313
tNSC,0.319,0.316
MNB,0.423,0.44
tMNB,0.419,0.457
LSVM,0.481,0.505
tLSVM,0.519,0.534
LR,0.419,0.432
tLR,0.519,0.526
