,f1,cv
D-KNN,0.408,0.352
D-tKNN,0.454,0.412
NSC,0.319,0.32
tNSC,0.308,0.321
MNB,0.438,0.447
tMNB,0.442,0.459
LSVM,0.546,0.524
tLSVM,0.608,0.554
LR,0.481,0.445
tLR,0.531,0.532
